线程序号, 模型, beam_id(5~10), 是否启用精准说(1启用), 当前识别次数(从0开始), 输入音频文件, 音频通道, 结果类型(快速识别/普通识别), 识别次数(快速结果), 识别时间节点(音频开头到当前返回结果的音频节点),响应时间(识别时间节点-结束时间),起始时间(本次识别结果),结束时间, 识别结果(可能为空), 识别成绩, v3识别成绩, 能量, pss内存(kb), rss内存, uss内存, 实时率
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733559855001_micarray.pcm, 0, PartialResult, 0, 0.000, 0.000000, 0.000000, 0.000000, , 0.000000, -2.590000, 0, 47451, 47720, 39572, 0.029852
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733561048228_micarray.pcm, 0, QuickResult, 1, 23.860, 0.060000, 23.170000, 23.800000, 同行者, -2.570000, -2.890000, 2123363, 47583, 47852, 39620, 0.030128
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733561048228_micarray.pcm, 0, QuickResult, 2, 23.980, 0.090000, 23.170000, 23.890000, 同行者, -1.650000, -2.790000, 1859778, 47611, 47880, 39648, 0.030302
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733561048228_micarray.pcm, 0, PartialResult, 1, 24.100, 0.210000, 23.170000, 23.890000, 同行者, 2.990000, -2.190000, 1859778, 47623, 47892, 39660, 0.030385
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733561048228_micarray.pcm, 0, QuickResult, 2, 29.260, 0.080000, 28.550000, 29.180000, 同行者, -0.580000, -2.690000, 3278622, 47627, 47896, 39664, 0.030347
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733561048228_micarray.pcm, 0, QuickResult, 3, 29.380, 0.140000, 28.550000, 29.240000, 同行者, -0.250000, -2.690000, 3001723, 47663, 47932, 39700, 0.030453
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733561048228_micarray.pcm, 0, PartialResult, 1, 29.500, 0.260000, 28.550000, 29.240000, 同行者, 2.140000, -2.290000, 3001723, 47667, 47936, 39704, 0.030483
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 1, 14.860, 0.090000, 14.230000, 14.770000, 同行者, 0.640000, -2.590000, 565589, 47679, 47948, 39708, 0.030429
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 2, 17.260, 0.060000, 16.690000, 17.200000, 同行者, -0.510000, -2.690000, 569358, 47687, 47956, 39716, 0.030803
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 3, 17.380, 0.060000, 16.690000, 17.320000, 同行者, 0.430000, -2.590000, 510758, 47691, 47960, 39720, 0.030829
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, PartialResult, 1, 17.620, 0.300000, 16.690000, 17.320000, 同行者, 4.180000, -1.890000, 510758, 47691, 47960, 39720, 0.030821
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 2, 20.380, 0.080000, 19.760000, 20.300000, 同行者, 0.480000, -2.590000, 834112, 47691, 47960, 39720, 0.030779
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 3, 28.300, 0.080000, 27.710000, 28.220000, 同行者, 1.000000, -2.490000, 784186, 47691, 47960, 39720, 0.030436
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 4, 28.540, 0.170000, 27.710000, 28.370000, 同行者, 1.100000, -2.490000, 1010734, 47687, 47956, 39716, 0.030468
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, PartialResult, 1, 28.660, 0.290000, 27.710000, 28.370000, 同行者, 4.330000, -1.890000, 1010734, 47687, 47956, 39716, 0.030487
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 2, 37.780, 0.080000, 37.160000, 37.700000, 同行者, 3.100000, -2.090000, 468791, 47687, 47956, 39716, 0.030236
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 3, 37.900, 0.080000, 37.160000, 37.820000, 同行者, 3.370000, -2.090000, 556598, 47687, 47956, 39716, 0.030253
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 4, 38.020, 0.170000, 37.160000, 37.850000, 同行者, 3.540000, -2.090000, 532441, 47695, 47964, 39724, 0.030256
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, PartialResult, 1, 38.140, 0.290000, 37.160000, 37.850000, 同行者, 6.710000, -1.490000, 532441, 47695, 47964, 39724, 0.030270
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 2, 41.620, 0.080000, 40.940000, 41.540000, 同行者, -1.490000, -2.790000, 593560, 47699, 47968, 39728, 0.030252
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 3, 48.340, 0.080000, 47.660000, 48.260000, 同行者, -0.970000, -2.690000, 553760, 47727, 47996, 39756, 0.030439
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, PartialResult, 1, 48.580, 0.230000, 47.660000, 48.350000, 同行者, 2.870000, -2.190000, 505728, 47727, 47996, 39756, 0.030464
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 2, 52.180, 0.080000, 51.530000, 52.100000, 同行者, 2.160000, -2.290000, 465236, 47727, 47996, 39756, 0.030536
0, showcar_model//5045_lp_asrfix.dat, 10, 1, 0, 241227//record_out/16bit_16000hz_2ch_1733562619682_micarray.pcm, 0, QuickResult, 3, 52.300, 0.080000, 51.530000, 52.220000, 同行者, 2.350000, -2.290000, 449447, 47739, 48008, 39768, 0.030611
